,Address,AvgCost2,City,Cuisines,Lat,Locality,Long,PriceRange,RatingAvg,RatingColor,RatingTxt,RestID,RestName,Timings,URL,ZipCode,cityID
11,"603 North 5th Avenue, Downtown, Phoenix 85003",25,Phoenix,"Italian, Pizza, Sandwich",33.4548910000,Downtown,-112.0800350000,2,4.7,3F7E00,Excellent,17025909,Cibo,"11 AM to 9 PM (Mon),11 AM to 10 PM (Tue-Thu),11 AM to 11 PM (Fri-Sat),5 PM to 9 PM (Sun)",https://www.zomato.com/phoenix/cibo-downtown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85003,301
12,"2 East Jefferson Street #150, Downtown Phoenix 85004",40,Phoenix,American,33.4472400000,Downtown,-112.0737700000,3,4.0,5BA829,Very Good,17032327,The Arrogant Butcher,"11 AM to 9 PM (Mon-Thu), 11 AM to 10 PM (Fri), 12 Noon to 10 PM (Sat), 3 PM to 9 PM (Sun)",https://www.zomato.com/phoenix/the-arrogant-butcher-downtown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85004,301
13,"108 East Pierce Street, Downtown, Phoenix 85004",25,Phoenix,"Caribbean, Seafood",33.4556710000,Downtown,-112.0723160000,2,4.1,5BA829,Very Good,17030173,The Breadfruit,"5 PM to 10 PM (Mon-Thu),5 PM to 11 PM (Fri-Sat),Closed (Sun)",https://www.zomato.com/phoenix/the-breadfruit-downtown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85004,301
14,"40 North 1st Street, Downtown, Phoenix 85004",25,Phoenix,"Pizza, Sandwich",33.4487560000,Downtown,-112.0727020000,2,4.1,5BA829,Very Good,17030391,Hanny's,"11 AM to 1 AM (Mon-Fri),5 PM to 1 AM (Sat-Sun)",https://www.zomato.com/phoenix/hannys-downtown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85004,301
15,"622 East Adams Street, Downtown, Phoenix 85004",25,Phoenix,"Japanese, Sushi, Tea",33.4495640000,Downtown,-112.0656740000,2,4.1,5BA829,Very Good,17031944,Nobuo at Teeter House,"Closed (Mon),11 AM to 9:30 PM (Tue-Thu),11 AM to 10 PM (Fri-Sun)",https://www.zomato.com/phoenix/nobuo-at-teeter-house-downtown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85004,301
16,"455 North 3rd Street, Downtown, Phoenix 85004",25,Phoenix,"Mexican, Southwestern",33.4524400000,Downtown,-112.0698350000,2,4.1,5BA829,Very Good,17029048,Canyon Cafe,"11 AM to 9 PM (Mon, Tue, Wed, Sun), 11 AM to 10 PM (Thu-Sat)",https://www.zomato.com/phoenix/canyon-cafe-downtown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85004,301
17,"14 East Pierce Street, Downtown, Phoenix 85004",25,Phoenix,"American, Burger",33.4555828000,Downtown,-112.0736239000,2,4.1,5BA829,Very Good,17033807,Phoenix Public Market Cafe,7 AM to 10 PM (Mon-Sun),https://www.zomato.com/phoenix/phoenix-public-market-cafe-downtown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85004,301
18,27 East Southern Avenue 85282,10,Tempe,Pizza,33.3927900000,Tempe,-111.9391600000,1,4.1,5BA829,Very Good,17031149,Venezias New York Style Pizzeria,"10:30 AM to 10 PM (Mon-Thu, Sun), 10:30 AM to 11 PM (Fri-Sat)",https://www.zomato.com/tempe-az/venezias-new-york-style-pizzeria-tempe?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85282,11191
19,"530 West Broadway Road, Tempe 85282",25,Tempe,"American, Pizza",33.4075370000,Tempe,-111.9464770000,2,4.0,5BA829,Very Good,17025459,Boulders on Broadway,11 AM to 2 AM (Mon-Sun),https://www.zomato.com/tempe-az/boulders-on-broadway-1-tempe?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85282,11191
20,"2700 S Mill Ave, Tempe 85282",25,Tempe,Italian,33.3999630000,Tempe,-111.9398630000,2,3.9,9ACD32,Good,17028841,Riazzi's Italian Garden,"11 AM to 9 PM (Mon-Thu),11 AM to 10 PM (Fri),5 PM to 10 PM (Sat),4 PM to 9 PM (Sun)",https://www.zomato.com/tempe-az/riazzis-italian-garden-1-tempe?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85282,11191
21,3332 South Mill Avenue 85282,25,Tempe,"Greek, Mediterranean, Middle Eastern",33.3926000000,Tempe,-111.9396600000,2,3.8,9ACD32,Good,17025553,Byblos Restaurant,"Lunch, Dinner (Sun, Tue, Wed, Thu, Fri, Sat),  (Mon)",https://www.zomato.com/tempe-az/byblos-restaurant-tempe?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85282,11191
22,"3138 S Mill Ave, Tempe 85282",25,Tempe,Mexican,33.3949190000,Tempe,-111.9397630000,2,3.8,9ACD32,Good,17025705,Casa Reynoso,"Closed (Mon),11 AM to 8:30 PM (Tue-Thu),11 AM to 9:30 PM (Fri-Sat),11 AM to 8 PM (Sun)",https://www.zomato.com/tempe-az/casa-reynoso-1-tempe?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85282,11191
23,"208 W Southern Ave, Tempe 85282",25,Tempe,"Italian, Pizza",33.3928416000,Tempe,-111.9423157000,2,3.6,9ACD32,Good,17028782,Red Devil Italian Restaurant & Pizzeria,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri-Sat),Closed (Sun)",https://www.zomato.com/tempe-az/red-devil-italian-restaurant-pizzeria-1-tempe?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85282,11191
24,"528 W Broadway, Tempe 85282",10,Tempe,"Breakfast, Sandwich",33.4075070000,Tempe,-111.9464240000,1,3.7,9ACD32,Good,17031333,Bite Me Subs,"(Sun),Breakfast, Lunch, Dinner (Mon-Sat)",https://www.zomato.com/tempe-az/bite-me-subs-1-tempe?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85282,11191
25,"3223 S Mill Ave, Tempe 85282",10,Tempe,American,33.3939340000,Tempe,-111.9394500000,1,3.6,9ACD32,Good,17027970,Monkey Pants Bar & Grill,"Lunch, Dinner, Late (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/tempe-az/monkey-pants-bar-grill-1-tempe?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85282,11191
26,920 E University Drive 85281,25,Tempe,Indian,0.0000000000,Tempe,0.0000000000,2,3.1,CDD614,Average,18398038,Pastries 'N' Chaat,"11 AM to 2:30 PM, 4:30 PM to 10 PM (Mon-Sun)",https://www.zomato.com/tempe-az/pastries-n-chaat-tempe?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85281,11191
27,"1095 W Queen Creek Rd, Chandler 85248",25,Chandler,"American, Bar Food",33.2613920000,South Chandler,-111.8611010000,2,3.8,9ACD32,Good,17027312,Keegan's Grill Chandler,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/chandler-az/keegans-grill-chandler-south-chandler?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85248,11188
28,"2975 S Alma School Road, Chandler 85248",25,Chandler,"Asian, Japanese, Sushi",33.2618400000,South Chandler,-111.8584690000,2,3.6,9ACD32,Good,17031220,Honmachi Sushi & Teppaniaki,,https://www.zomato.com/chandler-az/honmachi-sushi-teppaniaki-south-chandler?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85248,11188
29,"3125 S Alma School Rd, Chandler 85248",10,Chandler,Japanese,33.2597880000,South Chandler,-111.8581650000,1,3.7,9ACD32,Good,17027927,Mikado,,https://www.zomato.com/chandler-az/mikado-south-chandler?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85248,11188
30,3991 South Arizona Avenue,10,Chandler,Sandwich,33.2480930000,South Chandler,-111.8396438000,1,3.2,CDD614,Average,17034692,Panera Bread,"6 AM to 9:30 PM (Mon-Sat), 7 AM to 8 PM (Sun)",https://www.zomato.com/chandler-az/panera-bread-south-chandler?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,,11188
31,"1085 W Queen Creek Rd, Chandler 85248",10,Chandler,Asian,33.2616620000,South Chandler,-111.8602930000,1,3.5,9ACD32,Good,17028418,Pei Wei Asian Diner,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/chandler-az/pei-wei-asian-diner-south-chandler?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85248,11188
32,2895 South Alma School Road Ste 1 85248,10,Chandler,"Fast Food, Mexican",33.2639222376,South Chandler,-111.8572605975,1,3.8,9ACD32,Good,17025870,Chipotle Mexican Grill,"10:45 AM to 10 PM (Mon-Sat), Sun Closed",https://www.zomato.com/chandler-az/chipotle-mexican-grill-south-chandler?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85248,11188
33,"2980 S Alma School Rd, Chandler 85248",10,Chandler,"American, Burger, Bar Food",33.2628440000,South Chandler,-111.8588370000,1,3.4,CDD614,Average,17029204,Sidelines Tavern and Grill,"Lunch, Dinner (Sun),Lunch, Dinner, Late (Mon-Sat)",https://www.zomato.com/chandler-az/sidelines-tavern-and-grill-south-chandler?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85248,11188
34,"3125 S Alma School, Chandler 85248",10,Chandler,Frozen Yogurt,33.2598590000,South Chandler,-111.8581730000,1,3.8,9ACD32,Good,17031662,Kokomo Frozen Yogurt,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu), Lunch, Dinner, Late (Fri-Sat)",https://www.zomato.com/chandler-az/kokomo-frozen-yogurt-south-chandler?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85248,11188
35,3751 South Clubhouse Drive 85248,25,Chandler,"American, Italian, Seafood",33.2544400000,South Chandler,-111.8678600000,2,3.5,9ACD32,Good,17025325,Bernards at Ocotillo,7 AM to 10 PM,https://www.zomato.com/chandler-az/bernards-at-ocotillo-south-chandler?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85248,11188
36,"2753 East Broadway Road, Suite 104, Mesa 85204",30,Mesa,"Burger, Diner",33.4080150000,Mesa,-111.7722240000,3,3.9,9ACD32,Good,17026724,Giant Hamburgers,"6 AM to 9 PM (Mon, Tue, Wed, Thu, Sun), 6 AM to 10 PM (Fri-Sat)",https://www.zomato.com/mesa-az/giant-hamburgers-1-mesa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85204,11187
37,"4210 East Main Street, Mesa, Phoenix AZ 85205",10,Mesa,Sandwich,0.0000000000,Mesa,0.0000000000,1,3.8,9ACD32,Good,17033183,Sassy's Cafe & Bakery,"7 AM to 5 PM (Mon-Sat),Closed (Sun)",https://www.zomato.com/mesa-az/sassys-cafe-bakery-1-mesa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85205,11187
38,"437 S Gilbert Rd, Mesa 85204",10,Mesa,Mexican,33.4073860000,Mesa,-111.7880350000,1,3.7,9ACD32,Good,17029623,Taquitos Jalisco,"9 AM to 9:30 PM (Mon-Sat),9 AM to 8:30 PM (Sun)",https://www.zomato.com/mesa-az/taquitos-jalisco-1-mesa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85204,11187
39,"330 S Gilbert Rd, Mesa 85204",10,Mesa,Latin American,33.4089690000,Mesa,-111.7884480000,1,3.4,CDD614,Average,17030976,Restaurant Salvadoreño #1,9 AM to 9 PM (Mon-Sun),https://www.zomato.com/mesa-az/restaurant-salvadoreo--1-mesa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85204,11187
40,"2639 E. Broadway, Suite C107, Mesa 85204",25,Mesa,Chinese,33.4079790000,Mesa,-111.7745820000,2,3.7,9ACD32,Good,17030732,Hot Wok,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri-Sat),12 Noon to 10 PM (Sun)",https://www.zomato.com/mesa-az/hot-wok-1-mesa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85204,11187
41,"116 N Lindsay Rd, Mesa 85213",15,Mesa,Donuts,33.4172780000,Mesa,-111.7712630000,1,3.7,9ACD32,Good,17024949,19th Donut Hole,"4:30 AM to 9 PM (Mon-Thu),4:30 AM to 5 PM (Fri-Sun)",https://www.zomato.com/mesa-az/19th-donut-hole-1-mesa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85213,11187
42,"2639 E Broadway Rd, Mesa 85204",10,Mesa,Burger,33.4079790000,Mesa,-111.7745820000,1,3.0,CDD614,Average,17031635,Simpleton's,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/mesa-az/simpletons-1-mesa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85204,11187
43,"1133 S Dobson Road, Ste 102 Mesa",15,Mesa,"Bakery, Coffee and Tea, Desserts",0.0000000000,Mesa,0.0000000000,1,0,CBCBCB,Not rated,18397785,Tous Les Jour,7 AM to 8:30 PM,https://www.zomato.com/mesa-az/tous-les-jour-mesa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,,11187
44,2747 East Broadway Road 85204,10,Mesa,Fast Food,33.4077264514,Mesa,-111.7715710402,1,3.3,CDD614,Average,17030914,Whataburger,24 Hours,https://www.zomato.com/mesa-az/whataburger-mesa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85204,11187
45,"177 Caruso Ave, Glendale 91210",25,Glendale,Asian,34.1435539000,City Center,-118.2554909000,2,4.0,5BA829,Very Good,16837188,Din Tai Fung,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/glendale-ca/din-tai-fung-city-center?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,91210,10959
46,"211 E Broadway, Glendale 91205",25,Glendale,"Middle Eastern, Armenian",34.1465910000,"East Broadway, City Center",-118.2533580000,2,4.9,3F7E00,Excellent,16820647,Raffi's Place,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/glendale-ca/raffis-place-city-center?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,91205,10959
47,135 North Artsakh Avenue 91206,70,Glendale,"Brazilian, Latin American",34.1476017000,"North Maryland Avenue, City Center",-118.2541852000,4,4.5,3F7E00,Excellent,16812764,Gauchos Village,"11:30 AM to 2 PM, 5:30 PM to 9 PM (Mon-Thu), 11:30 AM to 2 PM, 5 PM to 10 PM (Fri), 12 Noon to 3 PM, 4 PM to 10 PM (Sat), 11:30 AM to 3 PM, 4 PM to 9 PM (Sun)",https://www.zomato.com/glendale-ca/gauchos-village-city-center?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,91206,10959
48,"511 Americana Way, Glendale 91204",25,Glendale,American,34.1440863000,"Americana Way, City Center",-118.2575363000,2,4.1,5BA829,Very Good,16831906,The Cheesecake Factory,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu), Lunch, Dinner, Late (Fri-Sat)",https://www.zomato.com/glendale-ca/the-cheesecake-factory-city-center?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,91204,10959
49,"702 Americana Way, Glendale 91210",40,Glendale,"Japanese, Sushi",34.1434100000,"East Broadway, City Center",-118.2557200000,3,3.8,9ACD32,Good,16825995,Katsuya,"11:30 AM to 9 PM (Mon-Thu, Sun), 11:30 AM to 10 PM (Fri-Sat)",https://www.zomato.com/glendale-ca/katsuya-city-center?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,91210,10959
50,304 North Brand Boulevard 91203,40,Glendale,"Mediterranean, Middle Eastern, Armenian",34.1501400000,"North Brand Boulevard, City Center",-118.2549700000,3,4.2,5BA829,Very Good,16809520,Carousel Restaurant,"Lunch, Dinner (Sun, Tue, Wed, Thu),  (Mon),Lunch, Dinner, Late (Fri-Sat)",https://www.zomato.com/glendale-ca/carousel-restaurant-city-center?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,91203,10959
51,807 Americana Way 91210,35,Glendale,American,34.1434100000,"East Broadway, City Center",-118.2557200000,3,4.0,5BA829,Very Good,16831618,Granville Cafe,"11 AM to 10 PM (Mon-Thu), 11 AM to 11 PM (Fri), 10 AM to 11 PM (Sat), 10 AM to 10 PM (Sun)",https://www.zomato.com/glendale-ca/granville-cafe-city-center?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,91210,10959
