,Address,AvgCost2,City,Cuisines,Lat,Locality,Long,PriceRange,RatingAvg,RatingColor,RatingTxt,RestID,RestName,Timings,URL,ZipCode,cityID
68,10780 Hebron Road SE 43008,10,Columbus,Fast Food,39.9425234177,Buckeye Lake,-82.4808159471,1,2.7,FFBA00,Average,17120755,McDonald's,"6 AM to 11 PM (Mon-Thu, Sun), 6 AM to 12 Midnight (Fri-Sat)",https://www.zomato.com/columbus-oh/mcdonalds-buckeye-lake?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,43008,1021
69,10281 Hebron Road 43025,10,Columbus,Fast Food,39.9406129770,Buckeye Lake,-82.4788767099,1,3.0,CDD614,Average,17120718,Wendy's,"10 AM to 11 PM (Mon-Thu, Sun), 10 AM to 12 Midnight (Fri-Sat)",https://www.zomato.com/columbus-oh/wendys-1-hebron?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,43025,1021
70,10800 Hebron Road SE 43008,10,Columbus,Fast Food,39.9401107000,Buckeye Lake,-82.4806108000,1,0,CBCBCB,Not rated,17120759,Taco Bell,"7 AM to 12 Midnight (Mon-Thu, Sun), 7 AM to 2 AM (Fri-Sat)",https://www.zomato.com/columbus-oh/taco-bell-buckeye-lake?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,43008,1021
71,"10800 Hebron Road SE, Buckeye Lake 43008",10,Columbus,"Fast Food, Pizza",39.9430730000,Buckeye Lake,-82.4822561000,1,0,CBCBCB,Not rated,17123328,Pizza Hut,,https://www.zomato.com/columbus-oh/pizza-hut-buckeye-lake?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,43008,1021
72,"11 S Beaver St Ste 1, Flagstaff 86001",25,Flagstaff,"Pizza, Sandwich",35.1964560000,Flagstaff,-111.6510210000,2,4.0,5BA829,Very Good,17357169,Beaver Street Brewery,"11 AM to 11 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 12 Midnight (Fri-Sat)",https://www.zomato.com/flagstaff-az/beaver-street-brewery-flagstaff?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86001,469
73,"120 N. Leroux St., Flagstaff 86001",25,Flagstaff,Burger,35.1989170000,Flagstaff,-111.6479320000,2,4.0,5BA829,Very Good,17357501,Diablo Burger,"11 AM to 9 PM (Mon-Wed),11 AM to 10 PM (Thu-Sat),Closed (Sun)",https://www.zomato.com/flagstaff-az/diablo-burger-flagstaff?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86001,469
74,"104 N San Francisco St, Flagstaff 86001",25,Flagstaff,Thai,35.1983360000,Flagstaff,-111.6473680000,2,4.0,5BA829,Very Good,17357504,Pato Thai,"11 AM to 3 PM, 4:30 PM to 9 PM (Mon-Thu),11 AM to 9 PM (Fri-Sat),12 Noon to 8 PM (Sun)",https://www.zomato.com/flagstaff-az/pato-thai-flagstaff?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86001,469
75,"14 South Beaver Street, southside 86001",10,Flagstaff,"Breakfast, Coffee and Tea, Vegetarian",35.1967400000,Flagstaff,-111.6506600000,1,3.9,9ACD32,Good,17357289,Macy's European Coffee House,6 AM to 8 PM,https://www.zomato.com/flagstaff-az/macys-european-coffee-house-flagstaff?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86001,469
76,"112 E Route 66, Flagstaff 86001",25,Flagstaff,Mexican,35.1971840000,Flagstaff,-111.6474950000,2,3.9,9ACD32,Good,17357295,Martanne's Burrito Palace,7:30 AM to 9 PM (Mon-Sun),https://www.zomato.com/flagstaff-az/martannes-burrito-palace-flagstaff?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86001,469
77,5 South San Francisco Street 86001,10,Flagstaff,"Burger, Bar Food, Sandwich",35.1970300000,Flagstaff,-111.6482100000,1,3.8,9ACD32,Good,17357553,Lumberyard Brewing Company,11 AM to 10 PM (Mon-Sun),https://www.zomato.com/flagstaff-az/lumberyard-brewing-company-flagstaff?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86001,469
78,"320 S Regent St, Flagstaff 86001",10,Flagstaff,"Mediterranean, Tapas, Vegetarian",35.1909250000,Flagstaff,-111.6424660000,1,3.8,9ACD32,Good,17357508,Pita Jungle,10:30 AM to 10 PM (Mon-Sun),https://www.zomato.com/flagstaff-az/pita-jungle-flagstaff?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86001,469
